TOTAL,SNA,MONTH,COUNTY,SSI,ADC,YEAR,PLAN NAME,NYSoH
2135,476,JULY,Orange,223,807,2015,Wellcare of New York,629
3224,677,JULY,Orleans,222,1239,2015,Excellus Health Plan,1086
985,338,JULY,Orleans,124,515,2015,HealthNow,8
3607,831,JULY,Orleans,182,1298,2015,NYS Catholic Health Plan,1296
18141,3919,JULY,Oswego,1433,7073,2015,NYS Catholic Health Plan,5716
6949,1796,JULY,Oswego,679,2689,2015,United Healthcare Plan of NY,1785
4011,988,JULY,Otsego,319,1376,2015,Excellus Health Plan,1328
4845,970,JULY,Otsego,300,1193,2015,NYS Catholic Health Plan,2382
843,45,JULY,Putnam,45,84,2015,Amerigroup,669
6598,952,JULY,Putnam,341,1974,2015,NYS Catholic Health Plan,3331
17106,2968,JULY,Rensselaer,1900,7219,2015,Capital District Physicians Health Plan,5019
386,10,JULY,Rensselaer,13,28,2015,MVP Health Plan,335
5889,1148,JULY,Rensselaer,534,2272,2015,NYS Catholic Health Plan,1935
291,31,JULY,Rensselaer,17,69,2015,United Healthcare Plan of NY,174
987,173,JULY,Rensselaer,118,306,2015,Wellcare of New York,390
5552,1352,JULY,Rockland,422,1991,2015,Affinity Health Plan,1787
14479,2615,JULY,Rockland,617,6788,2015,Hudson Health Plan,4459
54290,12664,JULY,Rockland,1040,28162,2015,NYS Catholic Health Plan,12424
2839,282,JULY,Rockland,64,247,2015,United Healthcare Plan of NY,2246
2081,343,JULY,Rockland,98,1158,2015,Wellcare of New York,482
13421,3493,JULY,St Lawrence,1044,5103,2015,NYS Catholic Health Plan,3781
5031,1366,JULY,St Lawrence,448,1798,2015,United Healthcare Plan of NY,1419
13416,3336,JULY,Saratoga,1039,4061,2015,Capital District Physicians Health Plan,4980
626,1,JULY,Saratoga,3,0,2015,MVP Health Plan,622
7424,2066,JULY,Saratoga,380,2134,2015,NYS Catholic Health Plan,2844
15452,2634,JULY,Schenectady,1916,5670,2015,Capital District Physicians Health Plan,5232
620,27,JULY,Schenectady,23,56,2015,MVP Health Plan,514
15944,2887,JULY,Schenectady,1412,5297,2015,NYS Catholic Health Plan,6348
3039,688,JULY,Schoharie,180,1075,2015,Capital District Physicians Health Plan,1096
1844,513,JULY,Schoharie,107,633,2015,NYS Catholic Health Plan,591
3008,664,JULY,Schuyler,170,1012,2015,NYS Catholic Health Plan,1162
4302,1018,JULY,Seneca,408,1726,2015,Excellus Health Plan,1150
505,50,JULY,Seneca,14,106,2015,NYS Catholic Health Plan,335
183,61,JULY,Seneca,14,52,2015,United Healthcare Plan of NY,56
16150,3546,JULY,Steuben,1369,5453,2015,NYS Catholic Health Plan,5782
28357,5499,JULY,Suffolk,1370,10649,2015,Affinity Health Plan,10839
62417,9835,JULY,Suffolk,3358,25692,2015,HealthFirst PHSP,23532
26601,6690,JULY,Suffolk,2103,7778,2015,HIP of Greater New York,10030
44896,9026,JULY,Suffolk,2430,15389,2015,NYS Catholic Health Plan,18051
55694,12084,JULY,Suffolk,2742,15641,2015,United Healthcare Plan of NY,25227
12507,2503,JULY,Sullivan,974,4697,2015,Hudson Health Plan,4333
5224,1050,JULY,Sullivan,307,1766,2015,NYS Catholic Health Plan,2101
1841,532,JULY,Tioga,129,736,2015,Capital District Physicians Health Plan,444
5207,983,JULY,Tioga,313,1734,2015,NYS Catholic Health Plan,2177
681,88,JULY,Tioga,38,91,2015,United Healthcare Plan of NY,464
4938,947,JULY,Tompkins,288,1259,2015,NYS Catholic Health Plan,2444
5623,1425,JULY,Tompkins,494,2476,2015,Today's Options,1228
15662,3496,JULY,Ulster,1207,5211,2015,Hudson Health Plan,5748
9666,1595,JULY,Ulster,615,3334,2015,NYS Catholic Health Plan,4122
1212,137,JULY,Ulster,40,169,2015,United Healthcare Plan of NY,866
3161,734,JULY,Ulster,389,1267,2015,Wellcare of New York,771
429,23,JULY,Warren,9,18,2015,MVP Health Plan,379
7611,1762,JULY,Warren,525,2646,2015,NYS Catholic Health Plan,2678
903,221,JULY,Warren,82,232,2015,United Healthcare Plan of NY,368
4267,764,JULY,Washington,338,1244,2015,Capital District Physicians Health Plan,1921
6600,1268,JULY,Washington,442,2192,2015,NYS Catholic Health Plan,2698
12447,2519,JULY,Wayne,1034,4060,2015,Excellus Health Plan,4834
2153,343,JULY,Wayne,191,533,2015,NYS Catholic Health Plan,1086
241,18,JULY,Wayne,16,19,2015,United Healthcare Plan of NY,188
20682,4708,JULY,Westchester,1519,6985,2015,Affinity Health Plan,7470
12235,2694,JULY,Westchester,1163,3434,2015,HIP of Greater New York,4944
70284,13651,JULY,Westchester,4193,31860,2015,Hudson Health Plan,20580
34842,7429,JULY,Westchester,1861,9555,2015,NYS Catholic Health Plan,15997
7042,763,JULY,Westchester,304,716,2015,United Healthcare Plan of NY,5259
1504,544,JULY,Wyoming,83,859,2015,HealthNow,18
3367,427,JULY,Wyoming,74,704,2015,NYS Catholic Health Plan,2162
3598,781,JULY,Yates,245,1116,2015,Excellus Health Plan,1456
367,35,JULY,Yates,13,48,2015,NYS Catholic Health Plan,271
21329,3279,AUGUST,Albany,2710,15340,2013,Capital District Physicians Health Plan,
8217,1620,AUGUST,Albany,747,5850,2013,NYS Catholic Health Plan,
1745,341,AUGUST,Albany,258,1146,2013,Wellcare of New York,
3023,484,AUGUST,Allegany,377,2162,2013,HealthNow,
413,82,AUGUST,Allegany,34,297,2013,NYS Catholic Health Plan,
1928,269,AUGUST,Allegany,179,1480,2013,Univera Community Health,
270,21,AUGUST,Broome,71,178,2013,Capital District Physicians Health Plan,
22000,3612,AUGUST,Broome,3028,15360,2013,Excellus Health Plan,
4025,553,AUGUST,Broome,762,2710,2013,NYS Catholic Health Plan,
386,87,AUGUST,Broome,85,214,2013,United Healthcare Plan of NY,
4358,570,AUGUST,Cattaraugus,757,3031,2013,HealthNow,
3138,409,AUGUST,Cattaraugus,332,2397,2013,NYS Catholic Health Plan,
1929,322,AUGUST,Cattaraugus,215,1392,2013,Univera Community Health,
3204,517,AUGUST,Cayuga,273,2414,2013,Excellus Health Plan,
4828,704,AUGUST,Cayuga,473,3651,2013,NYS Catholic Health Plan,
1062,176,AUGUST,Cayuga,139,747,2013,United Healthcare Plan of NY,
4029,657,AUGUST,Chautauqua,682,2690,2013,HealthNow,
15881,2434,AUGUST,Chautauqua,1895,11552,2013,NYS Catholic Health Plan,
1036,310,AUGUST,Chautauqua,187,539,2013,Univera Community Health,
7006,859,AUGUST,Chemung,911,5236,2013,Excellus Health Plan,
5834,846,AUGUST,Chemung,863,4125,2013,NYS Catholic Health Plan,
5332,709,AUGUST,Chenango,466,4157,2013,NYS Catholic Health Plan,
947,164,AUGUST,Chenango,131,652,2013,United Healthcare Plan of NY,
8740,1348,AUGUST,Clinton,954,6438,2013,NYS Catholic Health Plan,
938,233,AUGUST,Clinton,145,560,2013,United Healthcare Plan of NY,
3480,579,AUGUST,Columbia,505,2396,2013,Capital District Physicians Health Plan,
2875,489,AUGUST,Columbia,251,2135,2013,NYS Catholic Health Plan,
4754,673,AUGUST,Cortland,462,3619,2013,NYS Catholic Health Plan,
1592,234,AUGUST,Cortland,168,1190,2013,SCHC Total Care,
4814,910,AUGUST,Delaware,178,3726,2013,NYS Catholic Health Plan,
7924,1153,AUGUST,Dutchess,970,5801,2013,Hudson Health Plan,
6867,1142,AUGUST,Dutchess,842,4883,2013,MVP Health Plan,
5734,1113,AUGUST,Dutchess,637,3984,2013,NYS Catholic Health Plan,
2286,293,AUGUST,Dutchess,280,1713,2013,Wellcare of New York,
22947,4240,AUGUST,Erie,3026,15681,2013,HealthNow,
36925,5991,AUGUST,Erie,5513,25421,2013,Independent Health Association,
29244,4800,AUGUST,Erie,3601,20843,2013,NYS Catholic Health Plan,
33933,6063,AUGUST,Erie,3810,24060,2013,Univera Community Health,
3394,546,AUGUST,Essex,295,2553,2013,NYS Catholic Health Plan,
5065,934,AUGUST,Franklin,192,3939,2013,NYS Catholic Health Plan,
1264,194,AUGUST,Fulton,215,855,2013,Capital District Physicians Health Plan,
6785,1033,AUGUST,Fulton,804,4948,2013,NYS Catholic Health Plan,
16,5,AUGUST,Fulton,3,8,2013,United Healthcare Plan of NY,
3329,401,AUGUST,Genesee,417,2511,2013,MVP Health Plan,
2014,322,AUGUST,Genesee,150,1542,2013,NYS Catholic Health Plan,
2978,440,AUGUST,Greene,444,2094,2013,Capital District Physicians Health Plan,
2824,546,AUGUST,Greene,305,1973,2013,NYS Catholic Health Plan,
361,67,AUGUST,Hamilton,7,287,2013,NYS Catholic Health Plan,
1566,245,AUGUST,Herkimer,206,1115,2013,Excellus Health Plan,
6766,1049,AUGUST,Herkimer,619,5098,2013,NYS Catholic Health Plan,
55,6,AUGUST,Herkimer,11,38,2013,United Healthcare Plan of NY,
9817,1360,AUGUST,Jefferson,581,7876,2013,Excellus Health Plan,
2490,437,AUGUST,Jefferson,194,1859,2013,United Healthcare Plan of NY,
2191,246,AUGUST,Lewis,227,1718,2013,Excellus Health Plan,
832,125,AUGUST,Lewis,89,618,2013,NYS Catholic Health Plan,
4190,625,AUGUST,Livingston,450,3115,2013,Excellus Health Plan,
1099,155,AUGUST,Livingston,179,765,2013,MVP Health Plan,
775,192,AUGUST,Livingston,37,546,2013,NYS Catholic Health Plan,
3875,575,AUGUST,Madison,348,2952,2013,Excellus Health Plan,
2526,378,AUGUST,Madison,222,1926,2013,NYS Catholic Health Plan,
745,142,AUGUST,Madison,69,534,2013,United Healthcare Plan of NY,
72485,10410,AUGUST,Monroe,9715,52360,2013,Excellus Health Plan,
13244,1439,AUGUST,Monroe,2350,9455,2013,MVP Health Plan,
17507,4753,AUGUST,Monroe,2353,10401,2013,NYS Catholic Health Plan,
36,16,AUGUST,Monroe,3,17,2013,United Healthcare Plan of NY,
3198,376,AUGUST,Montgomery,393,2429,2013,Capital District Physicians Health Plan,
5380,761,AUGUST,Montgomery,558,4061,2013,NYS Catholic Health Plan,
15172,2696,AUGUST,Nassau,1242,11234,2013,Affinity Health Plan,
10552,2567,AUGUST,Nassau,939,7046,2013,Amerigroup,
21632,4086,AUGUST,Nassau,1622,15924,2013,HealthFirst PHSP,
18239,4376,AUGUST,Nassau,2592,11271,2013,HIP of Greater New York,
23554,4182,AUGUST,Nassau,1854,17518,2013,NYS Catholic Health Plan,
25452,5282,AUGUST,Nassau,2179,17991,2013,United Healthcare Plan of NY,
2,1,AUGUST,Niagara,0,1,2013,HealthNow,
12673,2410,AUGUST,Niagara,1878,8385,2013,Independent Health Association,
13966,2373,AUGUST,Niagara,1410,10183,2013,NYS Catholic Health Plan,
7236,1196,AUGUST,Oneida,939,5101,2013,Excellus Health Plan,
25357,3235,AUGUST,Oneida,3257,18865,2013,NYS Catholic Health Plan,
4055,684,AUGUST,Oneida,545,2826,2013,United Healthcare Plan of NY,
11066,1531,AUGUST,Onondaga,1225,8310,2013,Excellus Health Plan,
16762,2259,AUGUST,Onondaga,1924,12579,2013,NYS Catholic Health Plan,
24451,3295,AUGUST,Onondaga,3968,17188,2013,SCHC Total Care,
7544,1137,AUGUST,Onondaga,1017,5390,2013,United Healthcare Plan of NY,
8414,1049,AUGUST,Ontario,900,6465,2013,Excellus Health Plan,
614,63,AUGUST,Ontario,110,441,2013,MVP Health Plan,
230,56,AUGUST,Ontario,25,149,2013,NYS Catholic Health Plan,
15491,2000,AUGUST,Orange,1476,12015,2013,Affinity Health Plan,
13643,1934,AUGUST,Orange,1490,10219,2013,Hudson Health Plan,
19302,969,AUGUST,Orange,724,17609,2013,NYS Catholic Health Plan,
425,139,AUGUST,Orange,30,256,2013,United Healthcare Plan of NY,
1729,288,AUGUST,Orange,235,1206,2013,Wellcare of New York,
2084,306,AUGUST,Orleans,212,1566,2013,Excellus Health Plan,
1160,212,AUGUST,Orleans,135,813,2013,HealthNow,
2251,423,AUGUST,Orleans,158,1670,2013,NYS Catholic Health Plan,
4100,687,AUGUST,Oswego,517,2896,2013,Excellus Health Plan,
10424,1416,AUGUST,Oswego,1042,7966,2013,NYS Catholic Health Plan,
4905,712,AUGUST,Oswego,551,3642,2013,United Healthcare Plan of NY,
3259,461,AUGUST,Otsego,358,2440,2013,Excellus Health Plan,
2540,453,AUGUST,Otsego,254,1833,2013,NYS Catholic Health Plan,
117,26,AUGUST,Putnam,45,46,2013,Amerigroup,
3266,524,AUGUST,Putnam,338,2404,2013,NYS Catholic Health Plan,
13325,2122,AUGUST,Rensselaer,1806,9397,2013,Capital District Physicians Health Plan,
4446,778,AUGUST,Rensselaer,501,3167,2013,NYS Catholic Health Plan,
26,8,AUGUST,Rensselaer,4,14,2013,United Healthcare Plan of NY,
735,119,AUGUST,Rensselaer,117,499,2013,Wellcare of New York,
5198,1077,AUGUST,Rockland,545,3576,2013,Affinity Health Plan,
9987,1093,AUGUST,Rockland,564,8330,2013,Hudson Health Plan,
39193,2327,AUGUST,Rockland,1072,35794,2013,NYS Catholic Health Plan,
558,204,AUGUST,Rockland,33,321,2013,United Healthcare Plan of NY,
2430,207,AUGUST,Rockland,115,2108,2013,Wellcare of New York,
10225,1488,AUGUST,St Lawrence,720,8017,2013,Excellus Health Plan,
2218,414,AUGUST,St Lawrence,201,1603,2013,NYS Catholic Health Plan,
9322,1518,AUGUST,Saratoga,1109,6695,2013,Capital District Physicians Health Plan,
4840,757,AUGUST,Saratoga,339,3744,2013,NYS Catholic Health Plan,
11206,1360,AUGUST,Schenectady,1852,7994,2013,Capital District Physicians Health Plan,
10621,1645,AUGUST,Schenectady,1202,7774,2013,NYS Catholic Health Plan,
1914,342,AUGUST,Schoharie,177,1395,2013,Capital District Physicians Health Plan,
1307,211,AUGUST,Schoharie,104,992,2013,NYS Catholic Health Plan,
1423,246,AUGUST,Schuyler,68,1109,2013,Excellus Health Plan,
788,172,AUGUST,Schuyler,61,555,2013,NYS Catholic Health Plan,
3716,486,AUGUST,Seneca,435,2795,2013,Excellus Health Plan,
5948,900,AUGUST,Steuben,587,4461,2013,Excellus Health Plan,
5049,702,AUGUST,Steuben,549,3798,2013,NYS Catholic Health Plan,
19685,2931,AUGUST,Suffolk,1425,15329,2013,Affinity Health Plan,
40461,4967,AUGUST,Suffolk,3434,32060,2013,HealthFirst PHSP,
18331,4422,AUGUST,Suffolk,2245,11664,2013,HIP of Greater New York,
26510,4671,AUGUST,Suffolk,2178,19661,2013,NYS Catholic Health Plan,
31186,6627,AUGUST,Suffolk,2605,21954,2013,United Healthcare Plan of NY,
9009,1122,AUGUST,Sullivan,985,6902,2013,Hudson Health Plan,
3283,444,AUGUST,Sullivan,297,2542,2013,NYS Catholic Health Plan,
1653,204,AUGUST,Tioga,128,1321,2013,Capital District Physicians Health Plan,
3274,363,AUGUST,Tioga,213,2698,2013,NYS Catholic Health Plan,
316,58,AUGUST,Tioga,39,219,2013,United Healthcare Plan of NY,
569,120,AUGUST,Tompkins,34,415,2013,Excellus Health Plan,
2041,465,AUGUST,Tompkins,241,1335,2013,NYS Catholic Health Plan,
4977,708,AUGUST,Tompkins,553,3716,2013,SCHC Total Care,
5644,1036,AUGUST,Ulster,582,4026,2013,Hudson Health Plan,
5969,1347,AUGUST,Ulster,703,3919,2013,MVP Health Plan,
4939,725,AUGUST,Ulster,459,3755,2013,NYS Catholic Health Plan,
95,33,AUGUST,Ulster,7,55,2013,United Healthcare Plan of NY,
2486,324,AUGUST,Ulster,408,1754,2013,Wellcare of New York,
4716,524,AUGUST,Warren,391,3801,2013,NYS Catholic Health Plan,
602,128,AUGUST,Warren,51,423,2013,United Healthcare Plan of NY,
2662,326,AUGUST,Washington,361,1975,2013,Capital District Physicians Health Plan,
4048,446,AUGUST,Washington,417,3185,2013,NYS Catholic Health Plan,
8220,911,AUGUST,Wayne,1054,6255,2013,Excellus Health Plan,
1306,189,AUGUST,Wayne,160,957,2013,NYS Catholic Health Plan,
15393,3082,AUGUST,Westchester,1494,10817,2013,Affinity Health Plan,
8281,1816,AUGUST,Westchester,1119,5346,2013,HIP of Greater New York,
49801,6377,AUGUST,Westchester,3838,39586,2013,Hudson Health Plan,
20111,4648,AUGUST,Westchester,1617,13846,2013,NYS Catholic Health Plan,
1487,503,AUGUST,Westchester,164,820,2013,United Healthcare Plan of NY,
1928,287,AUGUST,Wyoming,86,1555,2013,HealthNow,
940,155,AUGUST,Wyoming,44,741,2013,NYS Catholic Health Plan,
2531,300,AUGUST,Yates,254,1977,2013,Excellus Health Plan,
21152,4296,AUGUST,Albany,2734,14122,2014,Capital District Physicians Health Plan,
7841,1929,AUGUST,Albany,741,5171,2014,NYS Catholic Health Plan,
274,80,AUGUST,Albany,27,167,2014,United Healthcare Plan of NY,
1687,439,AUGUST,Albany,251,997,2014,Wellcare of New York,
3040,754,AUGUST,Allegany,373,1913,2014,HealthNow,
575,159,AUGUST,Allegany,47,369,2014,NYS Catholic Health Plan,
1839,465,AUGUST,Allegany,180,1194,2014,Univera Community Health,
267,61,AUGUST,Broome,64,142,2014,Capital District Physicians Health Plan,
22148,5820,AUGUST,Broome,3056,13272,2014,Excellus Health Plan,
4640,1176,AUGUST,Broome,791,2673,2014,NYS Catholic Health Plan,
561,182,AUGUST,Broome,109,270,2014,United Healthcare Plan of NY,
4442,1000,AUGUST,Cattaraugus,736,2706,2014,HealthNow,
3244,792,AUGUST,Cattaraugus,359,2093,2014,NYS Catholic Health Plan,
1916,579,AUGUST,Cattaraugus,205,1132,2014,Univera Community Health,
7003,1784,AUGUST,Cayuga,671,4548,2014,NYS Catholic Health Plan,
2072,586,AUGUST,Cayuga,233,1253,2014,United Healthcare Plan of NY,
4057,1002,AUGUST,Chautauqua,667,2388,2014,HealthNow,
16765,4000,AUGUST,Chautauqua,1966,10799,2014,NYS Catholic Health Plan,
6,0,AUGUST,Chautauqua,0,6,2014,United Healthcare Plan of NY,
1075,387,AUGUST,Chautauqua,204,484,2014,Univera Community Health,
10701,2150,AUGUST,Chemung,1491,7060,2014,NYS Catholic Health Plan,
1832,418,AUGUST,Chemung,283,1131,2014,United Healthcare Plan of NY,
5437,1359,AUGUST,Chenango,503,3575,2014,NYS Catholic Health Plan,
940,276,AUGUST,Chenango,137,527,2014,United Healthcare Plan of NY,
8815,2136,AUGUST,Clinton,1108,5571,2014,NYS Catholic Health Plan,
880,270,AUGUST,Clinton,142,468,2014,United Healthcare Plan of NY,
3649,876,AUGUST,Columbia,530,2243,2014,Capital District Physicians Health Plan,
2990,752,AUGUST,Columbia,260,1978,2014,NYS Catholic Health Plan,
35,14,AUGUST,Columbia,2,19,2014,United Healthcare Plan of NY,
4856,1111,AUGUST,Cortland,481,3264,2014,NYS Catholic Health Plan,
1435,315,AUGUST,Cortland,174,946,2014,Today's Options,
4830,1347,AUGUST,Delaware,231,3252,2014,NYS Catholic Health Plan,
14058,3006,AUGUST,Dutchess,1761,9291,2014,Hudson Health Plan,
6487,1724,AUGUST,Dutchess,757,4006,2014,NYS Catholic Health Plan,
2547,495,AUGUST,Dutchess,305,1747,2014,Wellcare of New York,
23639,5894,AUGUST,Erie,3086,14659,2014,HealthNow,
38809,8573,AUGUST,Erie,5513,24723,2014,Independent Health Association,
31942,7348,AUGUST,Erie,3853,20741,2014,NYS Catholic Health Plan,
34014,8675,AUGUST,Erie,3850,21489,2014,Univera Community Health,
116,37,AUGUST,Erie,10,69,2014,Wellcare of New York,
3374,1016,AUGUST,Essex,363,1995,2014,NYS Catholic Health Plan,
74,23,AUGUST,Essex,8,43,2014,United Healthcare Plan of NY,
4943,1492,AUGUST,Franklin,242,3209,2014,NYS Catholic Health Plan,
1268,277,AUGUST,Fulton,217,774,2014,Capital District Physicians Health Plan,
6687,1599,AUGUST,Fulton,813,4275,2014,NYS Catholic Health Plan,
20,10,AUGUST,Fulton,2,8,2014,United Healthcare Plan of NY,
3169,687,AUGUST,Genesee,434,2048,2014,MVP Health Plan,
2099,521,AUGUST,Genesee,190,1388,2014,NYS Catholic Health Plan,
53,14,AUGUST,Genesee,4,35,2014,United Healthcare Plan of NY,
2963,639,AUGUST,Greene,448,1876,2014,Capital District Physicians Health Plan,
2805,749,AUGUST,Greene,311,1745,2014,NYS Catholic Health Plan,
390,135,AUGUST,Hamilton,13,242,2014,NYS Catholic Health Plan,
1547,400,AUGUST,Herkimer,203,944,2014,Excellus Health Plan,
6858,1583,AUGUST,Herkimer,637,4638,2014,NYS Catholic Health Plan,
41,12,AUGUST,Herkimer,11,18,2014,United Healthcare Plan of NY,
12659,3847,AUGUST,Jefferson,987,7825,2014,United Healthcare Plan of NY,
2192,642,AUGUST,Lewis,192,1358,2014,NYS Catholic Health Plan,
843,249,AUGUST,Lewis,100,494,2014,United Healthcare Plan of NY,
4330,990,AUGUST,Livingston,468,2872,2014,Excellus Health Plan,
1106,207,AUGUST,Livingston,175,724,2014,MVP Health Plan,
757,230,AUGUST,Livingston,50,477,2014,NYS Catholic Health Plan,
5395,1258,AUGUST,Madison,506,3631,2014,NYS Catholic Health Plan,
1777,553,AUGUST,Madison,164,1060,2014,United Healthcare Plan of NY,
75496,15653,AUGUST,Monroe,9844,49999,2014,Excellus Health Plan,
14213,2497,AUGUST,Monroe,2415,9301,2014,MVP Health Plan,
16436,4707,AUGUST,Monroe,2323,9406,2014,NYS Catholic Health Plan,
1889,661,AUGUST,Monroe,160,1068,2014,United Healthcare Plan of NY,
3283,592,AUGUST,Montgomery,401,2290,2014,Capital District Physicians Health Plan,
5425,1141,AUGUST,Montgomery,579,3705,2014,NYS Catholic Health Plan,
16776,3867,AUGUST,Nassau,1284,11625,2014,Affinity Health Plan,
11940,3320,AUGUST,Nassau,1012,7608,2014,Amerigroup,
24138,5810,AUGUST,Nassau,1783,16545,2014,HealthFirst PHSP,
19336,5383,AUGUST,Nassau,2658,11295,2014,HIP of Greater New York,
27683,6400,AUGUST,Nassau,2045,19238,2014,NYS Catholic Health Plan,
28642,7278,AUGUST,Nassau,2370,18994,2014,United Healthcare Plan of NY,
10766,2376,AUGUST,Niagara,1656,6734,2014,Independent Health Association,
15911,3952,AUGUST,Niagara,1639,10320,2014,NYS Catholic Health Plan,
534,213,AUGUST,Niagara,78,243,2014,United Healthcare Plan of NY,
7173,1635,AUGUST,Oneida,905,4633,2014,Excellus Health Plan,
26362,5003,AUGUST,Oneida,3339,18020,2014,NYS Catholic Health Plan,
4090,957,AUGUST,Oneida,557,2576,2014,United Healthcare Plan of NY,
23467,5055,AUGUST,Onondaga,2667,15745,2014,NYS Catholic Health Plan,
27138,5377,AUGUST,Onondaga,4271,17490,2014,Today's Options,
10805,2672,AUGUST,Onondaga,1364,6769,2014,United Healthcare Plan of NY,
8614,1850,AUGUST,Ontario,902,5862,2014,Excellus Health Plan,
630,142,AUGUST,Ontario,103,385,2014,MVP Health Plan,
307,98,AUGUST,Ontario,38,171,2014,NYS Catholic Health Plan,
9,1,AUGUST,Ontario,4,4,2014,United Healthcare Plan of NY,
15347,3014,AUGUST,Orange,1400,10933,2014,Affinity Health Plan,
14654,3176,AUGUST,Orange,1501,9977,2014,Hudson Health Plan,
21223,3300,AUGUST,Orange,789,17134,2014,NYS Catholic Health Plan,
586,225,AUGUST,Orange,63,298,2014,United Healthcare Plan of NY,
1822,440,AUGUST,Orange,252,1130,2014,Wellcare of New York,
2228,497,AUGUST,Orleans,214,1517,2014,Excellus Health Plan,
1205,310,AUGUST,Orleans,137,758,2014,HealthNow,
2393,622,AUGUST,Orleans,181,1590,2014,NYS Catholic Health Plan,
13147,2766,AUGUST,Oswego,1388,8993,2014,NYS Catholic Health Plan,
6073,1382,AUGUST,Oswego,704,3987,2014,United Healthcare Plan of NY,
3053,821,AUGUST,Otsego,336,1896,2014,Excellus Health Plan,
2651,819,AUGUST,Otsego,273,1559,2014,NYS Catholic Health Plan,
157,45,AUGUST,Putnam,34,78,2014,Amerigroup,
3436,754,AUGUST,Putnam,344,2338,2014,NYS Catholic Health Plan,
13261,2248,AUGUST,Rensselaer,1913,9100,2014,Capital District Physicians Health Plan,
4345,840,AUGUST,Rensselaer,525,2980,2014,NYS Catholic Health Plan,
53,16,AUGUST,Rensselaer,8,29,2014,United Healthcare Plan of NY,
764,155,AUGUST,Rensselaer,144,465,2014,Wellcare of New York,
4912,1349,AUGUST,Rockland,480,3083,2014,Affinity Health Plan,
10662,1971,AUGUST,Rockland,599,8092,2014,Hudson Health Plan,
42093,7250,AUGUST,Rockland,1067,33776,2014,NYS Catholic Health Plan,
707,306,AUGUST,Rockland,43,358,2014,United Healthcare Plan of NY,
2002,329,AUGUST,Rockland,112,1561,2014,Wellcare of New York,
10184,2693,AUGUST,St Lawrence,918,6573,2014,NYS Catholic Health Plan,
3836,1165,AUGUST,St Lawrence,379,2292,2014,United Healthcare Plan of NY,
9640,2755,AUGUST,Saratoga,1154,5731,2014,Capital District Physicians Health Plan,
4964,1558,AUGUST,Saratoga,367,3039,2014,NYS Catholic Health Plan,
11428,1965,AUGUST,Schenectady,1904,7559,2014,Capital District Physicians Health Plan,
10615,2288,AUGUST,Schenectady,1299,7028,2014,NYS Catholic Health Plan,
2116,543,AUGUST,Schoharie,179,1394,2014,Capital District Physicians Health Plan,
1372,395,AUGUST,Schoharie,101,876,2014,NYS Catholic Health Plan,
2044,590,AUGUST,Schuyler,165,1289,2014,NYS Catholic Health Plan,
3545,686,AUGUST,Seneca,421,2438,2014,Excellus Health Plan,
64,14,AUGUST,Seneca,2,48,2014,NYS Catholic Health Plan,
58,17,AUGUST,Seneca,10,31,2014,United Healthcare Plan of NY,
11560,2681,AUGUST,Steuben,1307,7572,2014,NYS Catholic Health Plan,
20354,4715,AUGUST,Suffolk,1399,14240,2014,Affinity Health Plan,
42150,7776,AUGUST,Suffolk,3396,30978,2014,HealthFirst PHSP,
18551,5890,AUGUST,Suffolk,2214,10447,2014,HIP of Greater New York,
28680,7479,AUGUST,Suffolk,2294,18907,2014,NYS Catholic Health Plan,
33408,10097,AUGUST,Suffolk,2721,20590,2014,United Healthcare Plan of NY,
9066,1842,AUGUST,Sullivan,978,6246,2014,Hudson Health Plan,
3289,711,AUGUST,Sullivan,295,2283,2014,NYS Catholic Health Plan,
1569,372,AUGUST,Tioga,142,1055,2014,Capital District Physicians Health Plan,
3301,758,AUGUST,Tioga,284,2259,2014,NYS Catholic Health Plan,
266,81,AUGUST,Tioga,36,149,2014,United Healthcare Plan of NY,
2509,743,AUGUST,Tompkins,268,1498,2014,NYS Catholic Health Plan,
5136,1275,AUGUST,Tompkins,522,3339,2014,Today's Options,
10819,2772,AUGUST,Ulster,1215,6832,2014,Hudson Health Plan,
6115,1336,AUGUST,Ulster,535,4244,2014,NYS Catholic Health Plan,
348,145,AUGUST,Ulster,31,172,2014,United Healthcare Plan of NY,
2749,583,AUGUST,Ulster,414,1752,2014,Wellcare of New York,
5265,1330,AUGUST,Warren,475,3460,2014,NYS Catholic Health Plan,
666,211,AUGUST,Warren,85,370,2014,United Healthcare Plan of NY,
2704,617,AUGUST,Washington,341,1746,2014,Capital District Physicians Health Plan,
4136,837,AUGUST,Washington,420,2879,2014,NYS Catholic Health Plan,
8488,2137,AUGUST,Wayne,1015,5336,2014,Excellus Health Plan,
1341,369,AUGUST,Wayne,172,800,2014,NYS Catholic Health Plan,
21,4,AUGUST,Wayne,8,9,2014,United Healthcare Plan of NY,
15497,4091,AUGUST,Westchester,1531,9875,2014,Affinity Health Plan,
8298,2273,AUGUST,Westchester,1139,4886,2014,HIP of Greater New York,
51966,9549,AUGUST,Westchester,3979,38438,2014,Hudson Health Plan,
20935,6255,AUGUST,Westchester,1721,12959,2014,NYS Catholic Health Plan,
1981,758,AUGUST,Westchester,224,999,2014,United Healthcare Plan of NY,
1949,488,AUGUST,Wyoming,100,1361,2014,HealthNow,
996,273,AUGUST,Wyoming,48,675,2014,NYS Catholic Health Plan,
